num_generations,population_size,initial_temp,min_mutation_rate,max_mutation_rate,initial_truncation_rate,min_truncation_rate,k,best_cost,mean_cost,max_cost,total_time
5000,100,1000.0,0.05,0.3,0.7,0.1,0.01,1121.0,1122.43,1174.0,0.617
5000,500,1000.0,0.05,0.3,0.7,0.1,0.01,1158.0,1160.032,1222.0,2.118
5000,1000,1000.0,0.05,0.3,0.7,0.1,0.01,1126.0,1127.682,1203.0,3.513
100,100,1000.0,0.1,0.3,0.7,0.1,0.01,1969.0,2027.76,2169.0,0.013
100,500,1000.0,0.1,0.3,0.7,0.1,0.01,2118.0,2325.148,3010.0,0.052
100,1000,1000.0,0.1,0.3,0.7,0.1,0.01,2030.0,2244.89,3031.0,0.076
500,100,1000.0,0.1,0.3,0.7,0.1,0.01,1427.0,1490.34,2318.0,0.063
500,500,1000.0,0.1,0.3,0.7,0.1,0.01,1263.0,1314.834,2497.0,0.22
500,1000,1000.0,0.1,0.3,0.7,0.1,0.01,1266.0,1293.826,2258.0,0.37
1000,100,1000.0,0.1,0.3,0.7,0.1,0.01,1241.0,1256.49,2327.0,0.123
1000,500,1000.0,0.1,0.3,0.7,0.1,0.01,1143.0,1164.036,2127.0,0.435
1000,1000,1000.0,0.1,0.3,0.7,0.1,0.01,1165.0,1176.428,2209.0,0.712
5000,100,1000.0,0.1,0.3,0.7,0.1,0.01,1115.0,1116.75,1181.0,0.644
5000,500,1000.0,0.1,0.3,0.7,0.1,0.01,1127.0,1131.844,1202.0,2.215
5000,1000,1000.0,0.1,0.3,0.7,0.1,0.01,1140.0,1143.62,1215.0,3.879
100,100,1000.0,0.01,0.3,0.7,0.1,0.05,2033.0,2123.38,2925.0,0.016
100,500,1000.0,0.01,0.3,0.7,0.1,0.05,1863.0,1984.622,2842.0,0.054
100,1000,1000.0,0.01,0.3,0.7,0.1,0.05,2006.0,2145.976,2862.0,0.099
500,100,1000.0,0.01,0.3,0.7,0.1,0.05,1520.0,1520.69,1548.0,0.073
500,500,1000.0,0.01,0.3,0.7,0.1,0.05,1383.0,1383.536,1456.0,0.226
500,1000,1000.0,0.01,0.3,0.7,0.1,0.05,1326.0,1339.173,1955.0,0.418
1000,100,1000.0,0.01,0.3,0.7,0.1,0.05,1493.0,1493.86,1538.0,0.129
1000,500,1000.0,0.01,0.3,0.7,0.1,0.05,1275.0,1285.878,2532.0,0.455
1000,1000,1000.0,0.01,0.3,0.7,0.1,0.05,1215.0,1215.278,1274.0,0.732
5000,100,1000.0,0.01,0.3,0.7,0.1,0.05,1221.0,1233.81,1378.0,0.635
5000,500,1000.0,0.01,0.3,0.7,0.1,0.05,1148.0,1148.45,1202.0,2.134
5000,1000,1000.0,0.01,0.3,0.7,0.1,0.05,1120.0,1120.32,1183.0,3.385
100,100,1000.0,0.05,0.3,0.7,0.1,0.05,1973.0,2021.63,2691.0,0.019
100,500,1000.0,0.05,0.3,0.7,0.1,0.05,2121.0,2295.776,3187.0,0.047
100,1000,1000.0,0.05,0.3,0.7,0.1,0.05,1910.0,2019.967,2782.0,0.078
500,100,1000.0,0.05,0.3,0.7,0.1,0.05,1477.0,1518.8,2557.0,0.063
500,500,1000.0,0.05,0.3,0.7,0.1,0.05,1277.0,1284.912,1350.0,0.222
500,1000,1000.0,0.05,0.3,0.7,0.1,0.05,1267.0,1304.047,2574.0,0.368
1000,100,1000.0,0.05,0.3,0.7,0.1,0.05,1253.0,1276.35,2793.0,0.133
1000,500,1000.0,0.05,0.3,0.7,0.1,0.05,1178.0,1183.084,1244.0,0.444
1000,1000,1000.0,0.05,0.3,0.7,0.1,0.05,1125.0,1133.304,1567.0,0.72
5000,100,1000.0,0.05,0.3,0.7,0.1,0.05,1139.0,1142.04,1206.0,0.624
5000,500,1000.0,0.05,0.3,0.7,0.1,0.05,1115.0,1116.76,1184.0,2.165
5000,1000,1000.0,0.05,0.3,0.7,0.1,0.05,1101.0,1102.692,1170.0,3.608
100,100,1000.0,0.1,0.3,0.7,0.1,0.05,2085.0,2176.37,2628.0,0.013
100,500,1000.0,0.1,0.3,0.7,0.1,0.05,1966.0,2069.2,2956.0,0.05
100,1000,1000.0,0.1,0.3,0.7,0.1,0.05,2056.0,2284.893,2959.0,0.083
500,100,1000.0,0.1,0.3,0.7,0.1,0.05,1464.0,1516.92,2218.0,0.066
500,500,1000.0,0.1,0.3,0.7,0.1,0.05,1280.0,1300.302,2526.0,0.228
500,1000,1000.0,0.1,0.3,0.7,0.1,0.05,1249.0,1294.141,2319.0,0.411
1000,100,1000.0,0.1,0.3,0.7,0.1,0.05,1249.0,1252.34,1323.0,0.126
1000,500,1000.0,0.1,0.3,0.7,0.1,0.05,1152.0,1156.392,1222.0,0.444
1000,1000,1000.0,0.1,0.3,0.7,0.1,0.05,1159.0,1280.737,2609.0,0.758
5000,100,1000.0,0.1,0.3,0.7,0.1,0.05,1142.0,1145.58,1194.0,0.669
5000,500,1000.0,0.1,0.3,0.7,0.1,0.05,1119.0,1122.588,1192.0,2.248
5000,1000,1000.0,0.1,0.3,0.7,0.1,0.05,1125.0,1128.747,1202.0,3.377
100,100,1000.0,0.01,0.3,0.7,0.1,0.1,1917.0,2005.1,2764.0,0.013
100,500,1000.0,0.01,0.3,0.7,0.1,0.1,1998.0,2075.886,2676.0,0.052
100,1000,1000.0,0.01,0.3,0.7,0.1,0.1,1937.0,2044.273,2725.0,0.08
500,100,1000.0,0.01,0.3,0.7,0.1,0.1,1578.0,1578.35,1613.0,0.061
500,500,1000.0,0.01,0.3,0.7,0.1,0.1,1402.0,1405.286,1479.0,0.212
500,1000,1000.0,0.01,0.3,0.7,0.1,0.1,1343.0,1350.366,2017.0,0.344
1000,100,1000.0,0.01,0.3,0.7,0.1,0.1,1437.0,1437.25,1462.0,0.121
1000,500,1000.0,0.01,0.3,0.7,0.1,0.1,1240.0,1245.644,1369.0,0.432
1000,1000,1000.0,0.01,0.3,0.7,0.1,0.1,1203.0,1203.267,1248.0,0.679
5000,100,1000.0,0.01,0.3,0.7,0.1,0.1,1263.0,1263.0,1263.0,0.604
5000,500,1000.0,0.01,0.3,0.7,0.1,0.1,1150.0,1150.272,1214.0,2.092
5000,1000,1000.0,0.01,0.3,0.7,0.1,0.1,1114.0,1114.375,1183.0,3.464
100,100,1000.0,0.05,0.3,0.7,0.1,0.1,2120.0,2196.07,2853.0,0.013
100,500,1000.0,0.05,0.3,0.7,0.1,0.1,2207.0,2419.044,3126.0,0.048
100,1000,1000.0,0.05,0.3,0.7,0.1,0.1,1976.0,2120.283,2951.0,0.073
500,100,1000.0,0.05,0.3,0.7,0.1,0.1,1459.0,1464.97,1510.0,0.063
500,500,1000.0,0.05,0.3,0.7,0.1,0.1,1273.0,1278.354,1973.0,0.216
500,1000,1000.0,0.05,0.3,0.7,0.1,0.1,1277.0,1293.831,1809.0,0.345
1000,100,1000.0,0.05,0.3,0.7,0.1,0.1,1285.0,1290.63,1452.0,0.125
1000,500,1000.0,0.05,0.3,0.7,0.1,0.1,1159.0,1163.128,1228.0,0.419
1000,1000,1000.0,0.05,0.3,0.7,0.1,0.1,1167.0,1172.466,1798.0,0.696
5000,100,1000.0,0.05,0.3,0.7,0.1,0.1,1137.0,1139.09,1211.0,0.616
5000,500,1000.0,0.05,0.3,0.7,0.1,0.1,1122.0,1124.274,1195.0,2.109
5000,1000,1000.0,0.05,0.3,0.7,0.1,0.1,1129.0,1131.2,1200.0,3.42
100,100,1000.0,0.1,0.3,0.7,0.1,0.1,2045.0,2171.38,2806.0,0.014
100,500,1000.0,0.1,0.3,0.7,0.1,0.1,1951.0,2061.64,2740.0,0.047
100,1000,1000.0,0.1,0.3,0.7,0.1,0.1,2103.0,2336.378,3058.0,0.075
500,100,1000.0,0.1,0.3,0.7,0.1,0.1,1392.0,1396.39,1454.0,0.069
500,500,1000.0,0.1,0.3,0.7,0.1,0.1,1233.0,1244.602,1682.0,0.214
500,1000,1000.0,0.1,0.3,0.7,0.1,0.1,1244.0,1276.593,2253.0,0.382
1000,100,1000.0,0.1,0.3,0.7,0.1,0.1,1245.0,1251.84,1373.0,0.125
1000,500,1000.0,0.1,0.3,0.7,0.1,0.1,1140.0,1157.112,2664.0,0.424
1000,1000,1000.0,0.1,0.3,0.7,0.1,0.1,1169.0,1176.206,2258.0,0.711
5000,100,1000.0,0.1,0.3,0.7,0.1,0.1,1142.0,1145.88,1209.0,0.617
5000,500,1000.0,0.1,0.3,0.7,0.1,0.1,1123.0,1126.758,1193.0,2.111
5000,1000,1000.0,0.1,0.3,0.7,0.1,0.1,1101.0,1104.411,1177.0,3.446
100,100,100.0,0.01,0.3,0.7,0.3,0.01,2068.0,2154.33,2742.0,0.015
100,500,100.0,0.01,0.3,0.7,0.3,0.01,1881.0,1966.716,2878.0,0.046
100,1000,100.0,0.01,0.3,0.7,0.3,0.01,2180.0,2405.977,3030.0,0.076
500,100,100.0,0.01,0.3,0.7,0.3,0.01,1612.0,1643.72,2091.0,0.061
500,500,100.0,0.01,0.3,0.7,0.3,0.01,1345.0,1377.892,2432.0,0.227
500,1000,100.0,0.01,0.3,0.7,0.3,0.01,1340.0,1357.496,2027.0,0.344
1000,100,100.0,0.01,0.3,0.7,0.3,0.01,1462.0,1462.0,1462.0,0.121
1000,500,100.0,0.01,0.3,0.7,0.3,0.01,1253.0,1253.32,1307.0,0.448
1000,1000,100.0,0.01,0.3,0.7,0.3,0.01,1219.0,1292.714,2257.0,0.677
5000,100,100.0,0.01,0.3,0.7,0.3,0.01,1263.0,1263.23,1286.0,0.609
5000,500,100.0,0.01,0.3,0.7,0.3,0.01,1126.0,1126.264,1196.0,2.111
5000,1000,100.0,0.01,0.3,0.7,0.3,0.01,1142.0,1142.455,1205.0,3.419
100,100,100.0,0.05,0.3,0.7,0.3,0.01,2212.0,2318.93,2931.0,0.015
